Brand,Full Model,Model,Price,Manufacturer,Phone Url
Samsung,Galaxy F22 4GB RAM/64GB,Galaxy F22,8000,Mobelix,https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-f22-4gb-ram64gb
Nothing,Phone 1 8GB RAM/256GB,Phone 1,24600,Mobelix,https://mobelix.com.mk/mk/proizvodi/nothing-phone-1-8gb-ram256gb
Google,Pixel 7 8GB RAM/128GB,Pixel 7,29500,Mobelix,https://mobelix.com.mk/mk/proizvodi/google-pixel-7-8gb-ram128gb
Xiaomi,Mi 12 Lite 8GB RAM/256GB,Mi 12 Lite,27700,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-mi-12-lite-8gb-ram256gb
Xiaomi,Redmi Note 11 6GB RAM/128GB,Redmi Note 11,13500,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-11-6gb-ram128gb
Xiaomi,Poco C40 4GB RAM/64GB,Poco C40,10500,Mobelix,https://mobelix.com.mk/mk/proizvodi/poco-c40-4gb-ram64gb
Google,Google Pixel 6A 6GB RAM/128GB,Pixel 6A,18500,Mobelix,https://mobelix.com.mk/mk/proizvodi/google-pixel-6a-6gb-ram128gb
Google,Pixel 7 Pro 12GB RAM/128GB,Pixel 7 Pro,40000,Mobelix,https://mobelix.com.mk/mk/proizvodi/google-pixel-7-pro-12gb-ram128gb
Xiaomi,Xiaomi 12s Ultra 5G 12GB RAM/512GB,12s Ultra,61500,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-12s-ultra-5g-12gb-ram512gb
ASUS,Asus ROG Phone 6D 16GB RAM/256GB,ROG Phone 6D,61500,Mobelix,https://mobelix.com.mk/mk/proizvodi/asus-rog-phone-6d-16gb-ram256gb
ASUS,Asus ROG Phone 6 Batman Edition 12GB RAM/256GB,ROG Phone 6 Batman Edition,76900,Mobelix,https://mobelix.com.mk/mk/proizvodi/asus-rog-phone-6-batman-edition-12gb-ram256gb
ASUS,Asus ROG Phone 6D Ultimate 16GB RAM/512GB,ROG Phone 6D Ultimate,76900,Mobelix,https://mobelix.com.mk/mk/proizvodi/asus-rog-phone-6d-ultimate-16gb-ram512gb
Xiaomi,Mi 12T Pro 5G 12GB RAM/256GB,Mi 12T Pro,43000,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-mi-12t-pro-5g-12gb-ram256gb
ASUS,Zenfone 9 8GB RAM/128GB,Zenfone 9,39900,Mobelix,https://mobelix.com.mk/mk/proizvodi/asus-zenfone-9-8gb-ram128gb
ASUS,Zenfone 9 8GB RAM/256GB,Zenfone 9,43000,Mobelix,https://mobelix.com.mk/mk/proizvodi/asus-zenfone-9-8gb-ram256gb
Samsung,Galaxy S23 5G 8/128GB,Galaxy S23,30100,Mobelix,https://mobelix.com.mk/mk/proizvodi/galaxy-s23-5g-8128gb
Samsung,Galaxy S23+ 5G 8/256GB,Galaxy S23+,39400,Mobelix,https://mobelix.com.mk/mk/proizvodi/galaxy-s23-5g-8256gb
Samsung,Galaxy S23 Ultra 5G 12/256GB,Galaxy S23 Ultra,44900,Mobelix,https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-s23-ultra-5g-12256gb
One Plus,One Plus 11 5G 8GB RAM/128GB,11,36900,Mobelix,https://mobelix.com.mk/mk/proizvodi/one-plus-11-5g-8gb-ram128gb
Xiaomi,Xiaomi Poco X5 PRO 5G 8GB RAM/256GB,Poco X5 PRO,18500,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-poco-x5-pro-5g-8gb-ram256gb
Xiaomi,Redmi Note 12 Pro+ 5G 8GB RAM/256GB,Redmi Note 12 Pro+,18500,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-12-pro-5g-8gb-ram256gb
Xiaomi,Redmi Note 12 Pro 5G 6GB RAM/128GB,Redmi Note 12 Pro,17200,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-12-pro-5g-6gb-ram128gb
Xiaomi,Redmi Note 12 5G 6GB RAM/128GB,Redmi Note 12,19700,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-12-5g-6gb-ram128gb
Samsung,Galaxy S23 5G 8/256GB,Galaxy S23,38200,Mobelix,https://mobelix.com.mk/mk/proizvodi/galaxy-s23-5g-8256gb-2
Xiaomi,Redmi 12C 4GB RAM/128GB,Redmi 12C,9800,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-12c-4gb-ram128gb
Xiaomi,Redmi Note 11 PRO+ 5G 6GB RAM/128GB,Redmi Note 11 PRO+,17200,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-11-pro-5g-6gb-ram128gb
Xiaomi,Xiaomi 13 5G 12GB RAM/256GB,13,49200,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-13-5g-12gb-ram256gb
Oppo,Oppo Reno 8 5G 8GB RAM/256GB,Oppo Reno 8,25800,Mobelix,https://mobelix.com.mk/mk/proizvodi/oppo-reno-8-5g-8gb-ram256gb
Xiaomi,Xiaomi Poco F5 PRO 5G 12GB RAM/512GB,Poco F5 PRO,29500,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-poco-f5-pro-5g-12gb-ram512gb
Samsung,Galaxy F13 4GB RAM/64GB,Galaxy F13,9200,Mobelix,https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-f13-4gb-ram64gb
Honor,Magic 5 Pro 12GB RAM/512GB,Magic 5 Pro,58400,Mobelix,https://mobelix.com.mk/mk/proizvodi/honor-magic-5-pro-12gb-ram512gb
Google,Pixel 7a 8GB RAM/128GB,Pixel 7a,24600,Mobelix,https://mobelix.com.mk/mk/proizvodi/google-pixel-7a-8gb-ram128gb
Xiaomi,Xiaomi Poco F5 5G 12GB RAM/256GB,Poco F5,21500,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-poco-f5-5g-12gb-ram256gb
Realme,Realme C53 6GB RAM/128GB,Realme C53,12300,Mobelix,https://mobelix.com.mk/mk/proizvodi/realme-c53-6gb-ram128gb
Samsung,Galaxy Z Fold 5 5G 12GB RAM/256GB,Galaxy Z Fold 5,64600,Mobelix,https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-z-fold-5-5g-12gb-ram256gb
Realme,Realme GT3 16GB RAM/1TB,Realme GT3,33800,Mobelix,https://mobelix.com.mk/mk/proizvodi/realme-gt3-16gb-ram1tb
ASUS,Zenfone 10 8GB RAM/256GB,Zenfone 10,46100,Mobelix,https://mobelix.com.mk/mk/proizvodi/asus-zenfone-10-8gb-ram256gb
Google,Pixel 8 8GB RAM/128GB,Pixel 8,33800,Mobelix,https://mobelix.com.mk/mk/proizvodi/google-pixel-8-8gb-ram128gb
Google,Pixel 8 Pro 12GB RAM/128GB,Pixel 8 Pro,40000,Mobelix,https://mobelix.com.mk/mk/proizvodi/google-pixel-8-pro-12gb-ram128gb
Honor,Honor 90 12GB RAM/256GB,Honor 90,25800,Mobelix,https://mobelix.com.mk/mk/proizvodi/honor-90-12gb-ram256gb
Samsung,Galaxy A15 4GB RAM/128GB,Galaxy A15,9500,Mobelix,https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-a15-4gb-ram128gb
